Nombre,Género
Rafael Arráiz Lucca,Hombre
Rafael Cadenas,Hombre
Rómulo Gallegos,Hombre
Rufino Blanco Fombona,Hombre
Salvador Garmendia,Hombre
Teresa de la Parra,Mujer
José Antonio Ramos Sucre,Hombre
Vicente Gerbasi,Hombre
Alberto Barrera Tyszka,Hombre
Adalgisa Nery,Mujer
Adélia Prado,Mujer
Adolfo Caminha,Hombre
Adonias Filho,Hombre
Afonso Arinos,Hombre
Alberto de Oliveira,Hombre
Alcântara Machado,Hombre
Alfredo d'Escragnolle Taunay,Hombre
Alice Dayrell Caldeira Brant,Mujer
Aluísio de Azevedo,Hombre
Alvarenga Peixoto,Hombre
Álvares de Azevedo,Hombre
Ana Cristina César,Mujer
Ana Maria Machado,Mujer
Ana Miranda,Mujer
Aníbal Machado,Hombre
Antônio Gonçalves Dias,Hombre
Antônio José da Silva,Hombre
António Vieira,Hombre
Ariano Suassuna,Hombre
Aristides Fraga Lima,Hombre
Artur Azevedo,Hombre
Augusto de Campos,Hombre
Augusto de Lima,Hombre
Augusto dos Anjos,Hombre
Autran Dourado,Hombre
Basílio da Gama,Hombre
Bernardo Guimarães,Hombre
Camilo Pessanha,Hombre
Carolina Maria de Jesus,Mujer
Carlos Drummond de Andrade,Hombre
Casimiro de Abreu,Hombre
Castro Alves,Hombre
Cassiano Ricardo,Hombre
Cecília Meireles,Mujer
Clarice Lispector,Mujer
Cláudio Manuel da Costa,Hombre
Conceição Evaristo,Mujer
Cora Coralina,Mujer
Dias Gomes,Hombre
Érico Veríssimo,Hombre
Euclides da Cunha,Hombre
Fabrício Carpi Nejar,Hombre
Ferreira Gullar,Hombre
Gilberto Mendonça Teles,Hombre
Gonçalves de Magalhães,Hombre
Graça Aranha,Hombre
Graciliano Ramos,Hombre
Gregório de Matos,Hombre
Gustavo Dourado,Hombre
Haroldo de Campos,Hombre
Henriqueta Lisboa,Mujer
Hilda Hilst,Mujer
João Cabral de Melo Neto,Hombre
João da Cruz e Sousa,Hombre
João do Rio,Hombre
João Gilberto Noll,Hombre
João Guimarães Rosa,Hombre
João Simões Lopes Neto,Hombre
João Ubaldo Ribeiro,Hombre
Joaquim Manuel de Macedo,Hombre
Jorge Amado,Hombre
José de Alencar,Hombre
José Lins do Rego,Hombre
José Mauro de Vasconcelos,Hombre
Laerte,Mujer
Lima Barreto,Hombre
Lúcia Machado de Almeida,Mujer
Lya Luft,Mujer
Lygia Fagundes Telles,Mujer
Machado de Assis,Hombre
Manuel Bandeira,Hombre
Manuel de Araújo Porto-alegre,Hombre
Márcio Souza,Hombre
Mário de Andrade,Hombre
Mario Quintana,Hombre
Martins Pena,Hombre
Menotti Del Picchia,Hombre
Milton Hatoum,Hombre
Monteiro Lobato,Hombre
Murilo Mendes,Hombre
Narbal Fontes,Hombre
Nélida Piñon,Mujer
Nélson Rodrigues,Hombre
Olavo Bilac,Hombre
Orígenes Lessa,Hombre
Osman Lins,Hombre
Oswald de Andrade,Hombre
Paulo Coelho,Hombre
Paulo Leminski,Hombre
Paulo Lins,Hombre
Pedro Bloch,Hombre
Rachel de Queiroz,Mujer
Raul Pompéia,Hombre
Rubem Braga,Hombre
Rubem Fonseca,Hombre
Sérgio Sant'Anna,Hombre
Socorro Acioli,Mujer
Sousândrade,Hombre
Tomás Antônio Gonzaga,Hombre
Vladimir Herzog,Hombre
Zélia Gattai,Mujer
Ziraldo Alves Pinto,Hombre
Reinaldo Arenas,Hombre
Guillermo Cabrera Infante,Hombre
Alejo Carpentier,Hombre
Daína Chaviano,Mujer
Julián del Casal,Hombre
Gertrudis Gómez de Avellaneda,Mujer
Nicolás Guillén,Hombre
José María Heredia,Hombre
José Lezama Lima,Hombre
José Martí,Hombre
Heberto Padilla,Hombre
Virgilio Piñera,Hombre
Pedro Pérez Sarduy,Hombre
Severo Sarduy,Hombre
Pedro Juan Gutiérrez,Hombre
Julia Alvarez,Mujer
Arambilet,Hombre
Juan Bosch,Hombre
Manuel del Cabral,Hombre
